original_filename,extracted_title,title_source,new_filename,status,error
25-ciss copy.pdf,25% Capital Investment Subsidy Scheme,largest-font,25% Capital Investment Subsidy Scheme.pdf,renamed,
25-ciss.pdf,25% Capital Investment Subsidy Scheme,largest-font,25% Capital Investment Subsidy Scheme (2).pdf,renamed,
40shydcs copy.pdf,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",largest-font,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme.pdf",renamed,
40shydcs.pdf,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",largest-font,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme (2).pdf",renamed,
a-gainer copy.pdf,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,largest-font,AICTE - Grant For Augmenting Infrastructure In North Eastern Region.pdf,renamed,
a-gainer.pdf,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,largest-font,AICTE - Grant For Augmenting Infrastructure In North Eastern Region (2).pdf,renamed,
a-pudu copy.pdf,ARAVANAIPPU,largest-font,ARAVANAIPPU.pdf,renamed,
a-pudu.pdf,ARAVANAIPPU,largest-font,ARAVANAIPPU (2).pdf,renamed,
a2ks copy.pdf,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,largest-font,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies.pdf,renamed,
a2ks.pdf,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,largest-font,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies (2).pdf,renamed,
aaas-assam copy.pdf,Atal Amrit Abhiyan Scheme,largest-font,Atal Amrit Abhiyan Scheme.pdf,renamed,
aaas-assam.pdf,Atal Amrit Abhiyan Scheme,largest-font,Atal Amrit Abhiyan Scheme (2).pdf,renamed,
aabcs copy.pdf,Annal Ambedkar Business Champions Scheme,largest-font,Annal Ambedkar Business Champions Scheme.pdf,renamed,
aabcs.pdf,Annal Ambedkar Business Champions Scheme,largest-font,Annal Ambedkar Business Champions Scheme (2).pdf,renamed,
aaby copy.pdf,Aam Aadmi Bima Yojana,largest-font,Aam Aadmi Bima Yojana.pdf,renamed,
aaby.pdf,Aam Aadmi Bima Yojana,largest-font,Aam Aadmi Bima Yojana (2).pdf,renamed,
aaelss copy.pdf,Assam Abhinandan Education Loan Subsidy Scheme,largest-font,Assam Abhinandan Education Loan Subsidy Scheme.pdf,renamed,
aaelss.pdf,Assam Abhinandan Education Loan Subsidy Scheme,largest-font,Assam Abhinandan Education Loan Subsidy Scheme (2).pdf,renamed,
aag copy.pdf,Aponar Apon Ghar,largest-font,Aponar Apon Ghar.pdf,renamed,
aag.pdf,Aponar Apon Ghar,largest-font,Aponar Apon Ghar (2).pdf,renamed,
aamgsiscs.pdf,Award of Adhoc Merit Grant (Special Incentive) to Scheduled Caste Students,largest-font,Award of Adhoc Merit Grant (Special Incentive) to Scheduled Caste Students.pdf,renamed,
aan copy.pdf,Assam Arogya Nidhi Scheme,largest-font,Assam Arogya Nidhi Scheme.pdf,renamed,
aan.pdf,Assam Arogya Nidhi Scheme,largest-font,Assam Arogya Nidhi Scheme (2).pdf,renamed,
aas copy.pdf,Ashraya Adhar Scheme,largest-font,Ashraya Adhar Scheme.pdf,renamed,
aas.pdf,Ashraya Adhar Scheme,largest-font,Ashraya Adhar Scheme (2).pdf,renamed,
aasfsv copy.pdf,Aushadhi Avam Sugandhit Fasal Shetra Vistar,largest-font,Aushadhi Avam Sugandhit Fasal Shetra Vistar.pdf,renamed,
aasfsv.pdf,Aushadhi Avam Sugandhit Fasal Shetra Vistar,largest-font,Aushadhi Avam Sugandhit Fasal Shetra Vistar (2).pdf,renamed,
aasra copy.pdf,AASRA Scheme,largest-font,AASRA Scheme.pdf,renamed,
aasra.pdf,AASRA Scheme,largest-font,AASRA Scheme (2).pdf,renamed,
aass copy.pdf,Agriculture Academic Studies Scheme,largest-font,Agriculture Academic Studies Scheme.pdf,renamed,
aass.pdf,Agriculture Academic Studies Scheme,largest-font,Agriculture Academic Studies Scheme (2).pdf,renamed,
aavy copy.pdf,Atal Awasiya Vidyala Yojana,largest-font,Atal Awasiya Vidyala Yojana.pdf,renamed,
aavy(1) copy.pdf,Atal Awasiya Vidyala Yojana,largest-font,Atal Awasiya Vidyala Yojana (2).pdf,renamed,
