original_filename,extracted_title,title_source,new_filename,status,error
25-ciss copy.pdf,25% Capital Investment Subsidy SchemeAre you sure you want to sign out?CancelSign OutEngEnglish/à¤¹à¤¿à¤‚à¤¦à¥€Sign,first-line,25% Capital Investment Subsidy SchemeAre you sure you want to sign out CancelSign OutEngEnglish à¤¹à¤¿à¤‚à¤¦à¥€Sign.pdf,planned,
25-ciss.pdf,25% Capital Investment Subsidy SchemeAre you sure you want to sign out?CancelSign OutEngEnglish/à¤¹à¤¿à¤‚à¤¦à¥€Sign,first-line,25% Capital Investment Subsidy SchemeAre you sure you want to sign out CancelSign OutEngEnglish à¤¹à¤¿à¤‚à¤¦à¥€Sign (2).pdf,planned,
40shydcs copy.pdf,"40% Subsidy On Hank Yarn, Dyes & Chemicals SchemeAre you sure you want to sign out?CancelSign",first-line,"40% Subsidy On Hank Yarn, Dyes & Chemicals SchemeAre you sure you want to sign out CancelSign.pdf",planned,
40shydcs.pdf,"40% Subsidy On Hank Yarn, Dyes & Chemicals SchemeAre you sure you want to sign out?CancelSign",first-line,"40% Subsidy On Hank Yarn, Dyes & Chemicals SchemeAre you sure you want to sign out CancelSign (2).pdf",planned,
a-gainer copy.pdf,AICTE - Grant For Augmenting Infrastructure In North Eastern RegionAre you sure you want to sign out?CancelSign,first-line,AICTE - Grant For Augmenting Infrastructure In North Eastern RegionAre you sure you want to sign out CancelSign.pdf,planned,
a-gainer.pdf,AICTE - Grant For Augmenting Infrastructure In North Eastern RegionAre you sure you want to sign out?CancelSign,first-line,AICTE - Grant For Augmenting Infrastructure In North Eastern RegionAre you sure you want to sign out CancelSign (2).pdf,planned,
a-pudu copy.pdf,ARAVANAIPPUAre you sure you want to sign out?CancelSign OutEngEnglish/à¤¹à¤¿à¤‚à¤¦à¥€Sign,first-line,ARAVANAIPPUAre you sure you want to sign out CancelSign OutEngEnglish à¤¹à¤¿à¤‚à¤¦à¥€Sign.pdf,planned,
a-pudu.pdf,ARAVANAIPPUAre you sure you want to sign out?CancelSign OutEngEnglish/à¤¹à¤¿à¤‚à¤¦à¥€Sign,first-line,ARAVANAIPPUAre you sure you want to sign out CancelSign OutEngEnglish à¤¹à¤¿à¤‚à¤¦à¥€Sign (2).pdf,planned,
a2ks copy.pdf,Access To Knowledge For Technology Development And Dissemination (A2K+) - StudiesAre you sure you want to sign out?,first-line,Access To Knowledge For Technology Development And Dissemination (A2K+) - StudiesAre you sure you want to sign out.pdf,planned,
a2ks.pdf,Access To Knowledge For Technology Development And Dissemination (A2K+) - StudiesAre you sure you want to sign out?,first-line,Access To Knowledge For Technology Development And Dissemination (A2K+) - StudiesAre you sure you want to sign out (2).pdf,planned,
aaas-assam copy.pdf,Atal Amrit Abhiyan SchemeAre you sure you want to sign out?CancelSign OutEngEnglish/à¤¹à¤¿à¤‚à¤¦à¥€Sign,first-line,Atal Amrit Abhiyan SchemeAre you sure you want to sign out CancelSign OutEngEnglish à¤¹à¤¿à¤‚à¤¦à¥€Sign.pdf,planned,
aaas-assam.pdf,Atal Amrit Abhiyan SchemeAre you sure you want to sign out?CancelSign OutEngEnglish/à¤¹à¤¿à¤‚à¤¦à¥€Sign,first-line,Atal Amrit Abhiyan SchemeAre you sure you want to sign out CancelSign OutEngEnglish à¤¹à¤¿à¤‚à¤¦à¥€Sign (2).pdf,planned,
aabcs copy.pdf,Annal Ambedkar Business Champions SchemeAre you sure you want to sign out?CancelSign OutEngEnglish/à¤¹à¤¿à¤‚à¤¦à¥€Sign,first-line,Annal Ambedkar Business Champions SchemeAre you sure you want to sign out CancelSign OutEngEnglish à¤¹à¤¿à¤‚à¤¦à¥€Sign.pdf,planned,
